date;Filière de production;Plage de puissance injection;Total
2018-01-01;F0 : Total toutes filières;P0 : Total toutes puissances;282288260320
2018-01-01;F0 : Total toutes filières;P1 : ]0 - 3] kW;2081998048
2018-01-01;F0 : Total toutes filières;P2 : ]3 - 9] kW;375723566
2018-01-01;F0 : Total toutes filières;P3 : ]9 - 100] kW;1550524687
2018-01-01;F0 : Total toutes filières;P4 : ]100 - 250] kW;2660935897
2018-01-01;F0 : Total toutes filières;P5 : ]250 - 1000] kW;6300059791
2018-01-01;F0 : Total toutes filières;P6 : ]1000 - 12000] kW;241267320900
2018-01-01;F0 : Total toutes filières;P7 : > 12000 kW;28051697279
2018-01-01;F1 : Thermique non renouvelable;P0 : Total toutes puissances;38156470531
2018-01-01;F1 : Thermique non renouvelable;P1 : ]0 - 3] kW;0
2018-01-01;F1 : Thermique non renouvelable;P2 : ]3 - 9] kW;0
2018-01-01;F1 : Thermique non renouvelable;P3 : ]9 - 100] kW;0
2018-01-01;F1 : Thermique non renouvelable;P4 : ]100 - 250] kW;25613481
2018-01-01;F1 : Thermique non renouvelable;P5 : ]250 - 1000] kW;765665314
2018-01-01;F1 : Thermique non renouvelable;P6 : ]1000 - 12000] kW;37199151313
2018-01-01;F1 : Thermique non renouvelable;P7 : > 12000 kW;0
2018-01-01;F2 : Bioénergies;P0 : Total toutes puissances;14955135734
2018-01-01;F2 : Bioénergies;P1 : ]0 - 3] kW;0
2018-01-01;F2 : Bioénergies;P2 : ]3 - 9] kW;0
2018-01-01;F2 : Bioénergies;P3 : ]9 - 100] kW;62447222
2018-01-01;F2 : Bioénergies;P4 : ]100 - 250] kW;781896480
2018-01-01;F2 : Bioénergies;P5 : ]250 - 1000] kW;1089599811
2018-01-01;F2 : Bioénergies;P6 : ]1000 - 12000] kW;10879138314
2018-01-01;F2 : Bioénergies;P7 : > 12000 kW;0
2018-01-01;F3 : Hydraulique;P0 : Total toutes puissances;15319237809
2018-01-01;F3 : Hydraulique;P1 : ]0 - 3] kW;954215216
2018-01-01;F3 : Hydraulique;P2 : ]3 - 9] kW;773206
2018-01-01;F3 : Hydraulique;P3 : ]9 - 100] kW;209294902
2018-01-01;F3 : Hydraulique;P4 : ]100 - 250] kW;1004136228
2018-01-01;F3 : Hydraulique;P5 : ]250 - 1000] kW;4064001515
2018-01-01;F3 : Hydraulique;P6 : ]1000 - 12000] kW;7826852900
2018-01-01;F3 : Hydraulique;P7 : > 12000 kW;1260610984
2018-01-01;F4 : Eolien;P0 : Total toutes puissances;206603632198
2018-01-01;F4 : Eolien;P1 : ]0 - 3] kW;98368184
2018-01-01;F4 : Eolien;P2 : ]3 - 9] kW;188496
2018-01-01;F4 : Eolien;P3 : ]9 - 100] kW;388176
2018-01-01;F4 : Eolien;P4 : ]100 - 250] kW;0
2018-01-01;F4 : Eolien;P5 : ]250 - 1000] kW;0
2018-01-01;F4 : Eolien;P6 : ]1000 - 12000] kW;181642316311
2018-01-01;F4 : Eolien;P7 : > 12000 kW;24753314981
2018-01-01;F5 : Solaire;P0 : Total toutes puissances;7040696480
2018-01-01;F5 : Solaire;P1 : ]0 - 3] kW;629841147
2018-01-01;F5 : Solaire;P2 : ]3 - 9] kW;374654136
2018-01-01;F5 : Solaire;P3 : ]9 - 100] kW;1276486741
2018-01-01;F5 : Solaire;P4 : ]100 - 250] kW;845575650
2018-01-01;F5 : Solaire;P5 : ]250 - 1000] kW;0
2018-01-01;F5 : Solaire;P6 : ]1000 - 12000] kW;3583261986
2018-01-01;F5 : Solaire;P7 : > 12000 kW;0
2018-01-01;F6 : Autres;P0 : Total toutes puissances;137926052
2018-01-01;F6 : Autres;P1 : ]0 - 3] kW;0
2018-01-01;F6 : Autres;P2 : ]3 - 9] kW;0
2018-01-01;F6 : Autres;P3 : ]9 - 100] kW;0
2018-01-01;F6 : Autres;P4 : ]100 - 250] kW;0
2018-01-01;F6 : Autres;P5 : ]250 - 1000] kW;0
2018-01-01;F6 : Autres;P6 : ]1000 - 12000] kW;136566648
2018-01-01;F6 : Autres;P7 : > 12000 kW;0
2018-01-02;F0 : Total toutes filières;P0 : Total toutes puissances;228903070455
2018-01-02;F0 : Total toutes filières;P1 : ]0 - 3] kW;2046022364
2018-01-02;F0 : Total toutes filières;P2 : ]3 - 9] kW;303266338
2018-01-02;F0 : Total toutes filières;P3 : ]9 - 100] kW;1292518893
2018-01-02;F0 : Total toutes filières;P4 : ]100 - 250] kW;2465845556
2018-01-02;F0 : Total toutes filières;P5 : ]250 - 1000] kW;6223654447
2018-01-02;F0 : Total toutes filières;P6 : ]1000 - 12000] kW;195201668006
2018-01-02;F0 : Total toutes filières;P7 : > 12000 kW;21370094699
2018-01-02;F1 : Thermique non renouvelable;P0 : Total toutes puissances;38635275712
2018-01-02;F1 : Thermique non renouvelable;P1 : ]0 - 3] kW;0
2018-01-02;F1 : Thermique non renouvelable;P2 : ]3 - 9] kW;0
2018-01-02;F1 : Thermique non renouvelable;P3 : ]9 - 100] kW;0
2018-01-02;F1 : Thermique non renouvelable;P4 : ]100 - 250] kW;26924487
2018-01-02;F1 : Thermique non renouvelable;P5 : ]250 - 1000] kW;781670479
2018-01-02;F1 : Thermique non renouvelable;P6 : ]1000 - 12000] kW;37662590477
2018-01-02;F1 : Thermique non renouvelable;P7 : > 12000 kW;0
2018-01-02;F2 : Bioénergies;P0 : Total toutes puissances;14592682879
2018-01-02;F2 : Bioénergies;P1 : ]0 - 3] kW;0
2018-01-02;F2 : Bioénergies;P2 : ]3 - 9] kW;0
2018-01-02;F2 : Bioénergies;P3 : ]9 - 100] kW;65096476
2018-01-02;F2 : Bioénergies;P4 : ]100 - 250] kW;774378485
2018-01-02;F2 : Bioénergies;P5 : ]250 - 1000] kW;1111254483
2018-01-02;F2 : Bioénergies;P6 : ]1000 - 12000] kW;10540268645
2018-01-02;F2 : Bioénergies;P7 : > 12000 kW;0
2018-01-02;F3 : Hydraulique;P0 : Total toutes puissances;15824762856
2018-01-02;F3 : Hydraulique;P1 : ]0 - 3] kW;1006428990
2018-01-02;F3 : Hydraulique;P2 : ]3 - 9] kW;772558
2018-01-02;F3 : Hydraulique;P3 : ]9 - 100] kW;206731952
2018-01-02;F3 : Hydraulique;P4 : ]100 - 250] kW;981905976
2018-01-02;F3 : Hydraulique;P5 : ]250 - 1000] kW;4055155931
2018-01-02;F3 : Hydraulique;P6 : ]1000 - 12000] kW;8292405341
2018-01-02;F3 : Hydraulique;P7 : > 12000 kW;1282649649
2018-01-02;F4 : Eolien;P0 : Total toutes puissances;154245010198
2018-01-02;F4 : Eolien;P1 : ]0 - 3] kW;140683324
2018-01-02;F4 : Eolien;P2 : ]3 - 9] kW;188496
2018-01-02;F4 : Eolien;P3 : ]9 - 100] kW;388176
2018-01-02;F4 : Eolien;P4 : ]100 - 250] kW;0
2018-01-02;F4 : Eolien;P5 : ]250 - 1000] kW;0
2018-01-02;F4 : Eolien;P6 : ]1000 - 12000] kW;135936710314
2018-01-02;F4 : Eolien;P7 : > 12000 kW;18092851651
2018-01-02;F5 : Solaire;P0 : Total toutes puissances;5392546483
2018-01-02;F5 : Solaire;P1 : ]0 - 3] kW;507852938
2018-01-02;F5 : Solaire;P2 : ]3 - 9] kW;302198392
2018-01-02;F5 : Solaire;P3 : ]9 - 100] kW;1018116688
2018-01-02;F5 : Solaire;P4 : ]100 - 250] kW;680940237
2018-01-02;F5 : Solaire;P5 : ]250 - 1000] kW;0
2018-01-02;F5 : Solaire;P6 : ]1000 - 12000] kW;2633311653
2018-01-02;F5 : Solaire;P7 : > 12000 kW;0
2018-01-02;F6 : Autres;P0 : Total toutes puissances;140286510
2018-01-02;F6 : Autres;P1 : ]0 - 3] kW;0
2018-01-02;F6 : Autres;P2 : ]3 - 9] kW;0
2018-01-02;F6 : Autres;P3 : ]9 - 100] kW;0
2018-01-02;F6 : Autres;P4 : ]100 - 250] kW;0
2018-01-02;F6 : Autres;P5 : ]250 - 1000] kW;0
2018-01-02;F6 : Autres;P6 : ]1000 - 12000] kW;133601649
2018-01-02;F6 : Autres;P7 : > 12000 kW;0
2018-01-03;F0 : Total toutes filières;P0 : Total toutes puissances;278927599587
2018-01-03;F0 : Total toutes filières;P1 : ]0 - 3] kW;2009774132
2018-01-03;F0 : Total toutes filières;P2 : ]3 - 9] kW;331861602
2018-01-03;F0 : Total toutes filières;P3 : ]9 - 100] kW;1379537390
2018-01-03;F0 : Total toutes filières;P4 : ]100 - 250] kW;2400214624
2018-01-03;F0 : Total toutes filières;P5 : ]250 - 1000] kW;5846399497
2018-01-03;F0 : Total toutes filières;P6 : ]1000 - 12000] kW;239241345254
2018-01-03;F0 : Total toutes filières;P7 : > 12000 kW;27718466947
2018-01-03;F1 : Thermique non renouvelable;P0 : Total toutes puissances;38120185900
2018-01-03;F1 : Thermique non renouvelable;P1 : ]0 - 3] kW;0
2018-01-03;F1 : Thermique non renouvelable;P2 : ]3 - 9] kW;0
2018-01-03;F1 : Thermique non renouvelable;P3 : ]9 - 100] kW;0
2018-01-03;F1 : Thermique non renouvelable;P4 : ]100 - 250] kW;28514983
2018-01-03;F1 : Thermique non renouvelable;P5 : ]250 - 1000] kW;761540814
2018-01-03;F1 : Thermique non renouvelable;P6 : ]1000 - 12000] kW;37161824812
2018-01-03;F1 : Thermique non renouvelable;P7 : > 12000 kW;0
2018-01-03;F2 : Bioénergies;P0 : Total toutes puissances;14142336511
2018-01-03;F2 : Bioénergies;P1 : ]0 - 3] kW;0
2018-01-03;F2 : Bioénergies;P2 : ]3 - 9] kW;0
2018-01-03;F2 : Bioénergies;P3 : ]9 - 100] kW;60918674
2018-01-03;F2 : Bioénergies;P4 : ]100 - 250] kW;741640141
2018-01-03;F2 : Bioénergies;P5 : ]250 - 1000] kW;1060767648
2018-01-03;F2 : Bioénergies;P6 : ]1000 - 12000] kW;10353121815
2018-01-03;F2 : Bioénergies;P7 : > 12000 kW;0
